nama_produk,harga,diskon,rating,terjual,toko,lokasi,link,scraped_at
Apple iPhone 15 & 16 Pro Max 128GB 256GB 512GB 1TB Led Resmi Apple Dengan Pilihan Warna Hitam Biru Pink Kuning Hijau Amanah,Rp12.500.000,,,,Hokky Jastip Bali,Denpasar,https://www.tokopedia.com/hokkyjastip/apple-iphone-15-16-pro-max-128gb-256gb-512gb-1tb-led-resmi-apple-dengan-pilihan-warna-hitam-biru-pink-kuning-hijau-amanah-1731847226959562443,2026-04-30T09:17:12.600127
Apple iPhone 15 | 15 PRO MAX 1TB 512GB 256GB 128GB Original Garansi Resmi Indonesia,Rp8.685.000,,,2 terjual,AFAGADGET,Depok,https://www.tokopedia.com/afagadgetstore/apple-iphone-15-15-pro-max-1tb-512gb-256gb-128gb-original-garansi-resmi-indonesia-1732640669619946608,2026-04-30T09:17:12.600128
Apple iPhone 15 Pro Max 512GB 256GB 128GB Original Garansi Resmi iBox Indonesia,Rp11.984.000,,,1 terjual,AFAGADGET,Depok,https://www.tokopedia.com/afagadgetstore/apple-iphone-15-pro-max-512gb-256gb-128gb-original-garansi-resmi-ibox-indonesia-1732639966219306096,2026-04-30T09:17:12.600130
Iphone apple 15 pro max 128Gb resmi indonesia,Rp23.099.999,,,,CALVM.ID,Kab. Bogor,https://www.tokopedia.com/calvmid/iphone-apple-15-pro-max-128gb-resmi-indonesia-1730946459691811965,2026-04-30T09:17:12.600131
"IBOX Apple iPhone 15 Pro Max 128GB, 256GB, 512GB, 1TB Titanium - NEW",Rp22.800.000,,,,Gadget Lab Official,Malang,https://www.tokopedia.com/gadgetlab/ibox-apple-iphone-15-pro-max-128gb-256gb-512gb-1tb-titanium-new-natural-256-gb-36a0e,2026-04-30T09:17:12.600133
SanDisk Flash Drive Ultra Dual Drive Go Type-C and USB 3.2 Gen1 64GB 128GB 256GB 512GB OTG Pendrive for iPhone 15 Plus/ Pro/ Max,Rp1.259.592,,,,LwniiiiSa,Kab. Tangerang,https://www.tokopedia.com/lwniiii/sandisk-flash-drive-ultra-dual-drive-go-type-c-and-usb-3-2-gen1-64gb-128gb-256gb-512gb-otg-pendrive-for-iphone-15-plus-pro-max-1731832185481561432,2026-04-30T09:17:12.600134
Iphone 15 Pro Max 128Gb Warna Gold COD,Rp6.050.000,,,,Rakatokaan,Kab. Semarang,https://www.tokopedia.com/rakatokaan/iphone-15-pro-max-128gb-warna-gold-cod-1735116536091804910,2026-04-30T09:17:12.600136
iPhone 15 Pro Max 128GB Ibox,Rp16.000.000,,,,JUAL IPHONE MURAH JOGJA,Kab. Sleman,https://www.tokopedia.com/jual-iphone-murah-jogja/iphone-15-pro-max-128gb-ibox-1732938873876219544,2026-04-30T09:17:12.600137
Iphone 15 Pro Max 128Gb Warna Gold COD,Rp6.050.000,,,,Rakatokaan,Kab. Semarang,https://www.tokopedia.com/rakatokaan/iphone-15-pro-max-128gb-warna-gold-cod-1735116144495854830,2026-04-30T09:17:12.600139
iPhone 15 pro max 128GB ex inter termurah,Rp14.500.000,,,,WiraLokaStore,Surabaya,https://www.tokopedia.com/wiralokastore/iphone-15-pro-max-128gb-ex-inter-termurah-1734217506458142418,2026-04-30T09:17:12.600140
"Apple iPhone 15 Pro Max 1TB 512GB 256GB 128GB Second Original iBox - SECOND IBOX, 256GB",Rp22.500.000,,,,HM&Co_Shop,Kab. Bandung,https://www.tokopedia.com/hmcoshop/apple-iphone-15-pro-max-1tb-512gb-256gb-128gb-second-original-ibox-second-ibox-256gb-1730826785557152950,2026-04-30T09:17:12.600142
iphone 15 pro max ibox 128gb & 256gb Gransi resmi,Rp7.799.999,,,,pstore477,Balikpapan,https://www.tokopedia.com/pstore477-347/iphone-15-pro-max-ibox-128gb-256gb-gransi-resmi-1732054710834136252,2026-04-30T09:17:12.600144
iphone 13 14 15 pro promax 512gb 256gb 128gb 64gb ganti housing xr - xs max original second mulus minus,Rp2.968.000,,3.0,1 terjual,Aimu Phonecell,Jakarta Utara,https://www.tokopedia.com/aimuphonecell/iphone-13-14-15-pro-promax-512gb-256gb-128gb-64gb-ganti-housing-xr-xs-max-original-second-mulus-minus-13-pro-xr-64gb-wifi-only-c93da,2026-04-30T09:17:12.600145
