nama_produk,harga,diskon,rating,terjual,toko,lokasi,link,scraped_at
Ps5 Baldur's Gate 3 / Baldurs Gate / Baldur,Rp1.199.000,,5.0,60+ terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-baldur-s-gate-3-baldurs-gate-baldur,2026-04-30T09:22:32.023631
"Logitech G Pro X SE Wired Gaming Headset dengan Mikrofon, DTS Headphone 7.1, Bantalan Busa Memori, Driver 50 mm, termasuk USB DAC, untuk PC, Xbox One, Xbox Series X|S, PS5, PS4 - Black",Rp1.399.000,13%,4.9,100+ terjual,Logitech G Official,Jakarta Pusat,https://www.tokopedia.com/logitech-g/logitech-g-pro-x-se-wired-gaming-headset-dengan-mikrofon-dts-headphone-7-1-bantalan-busa-memori-driver-50-mm-termasuk-usb-dac-untuk-pc-xbox-one-xbox-series-x-s-ps5-ps4-black,2026-04-30T09:22:32.023632
Rexus Gladius GX300 - Bluetooth Gamepad for PC PS4 I PS5 I GX-300,Rp455.000,,4.8,23 terjual,Duta Mandiri Infokom,Jakarta Pusat,https://www.tokopedia.com/d-m-i/rexus-gladius-gx300-bluetooth-gamepad-for-pc-ps4-i-ps5-i-gx-300-black,2026-04-30T09:22:32.023634
IFYOO GTPO1 Wireless Gamepad Controller Touchpad for PS4 PS5 Xbox PC,Rp899.000,,5.0,3 terjual,HeLo Official Store,Jakarta Barat,https://www.tokopedia.com/heloofficialstore/ifyoo-gtpo1-wireless-gamepad-controller-touchpad-for-ps4-ps5-xbox-pc-black-yellow-cef37,2026-04-30T09:22:32.023635
Face Plate Casing PS5 Skin Shell Case Cover Replacement DISC VERSION,Rp253.000,,5.0,100+ terjual,Rocket Games,Jakarta Selatan,https://www.tokopedia.com/rocketgames/face-plate-casing-ps5-skin-shell-case-cover-replacement-disc-version-starlight-blue-3b270,2026-04-30T09:22:32.023637
KontrolFreek Performance GRIPS for [PS5/ XBOX / NINTENDO SWITCH PRO],Rp125.000,,5.0,2 terjual,Alfa Artha Andhaya,Jakarta Pusat,https://www.tokopedia.com/alfaatri/kontrolfreek-performance-grips-for-ps5-xbox-nintendo-switch-pro-1732467482248447694,2026-04-30T09:22:32.023638
Stik PS5 Dualsense Galatic Purple PS5 Stik Wireless Controller,Rp1.349.000,,5.0,9 terjual,Super-Gameshop.id,Jakarta Pusat,https://www.tokopedia.com/super-gameshop/stik-ps5-dualsense-galatic-purple-ps5-stik-wireless-controller-reg-japan,2026-04-30T09:22:32.023640
PS4 PS5 Xbox One IINE Analog Cap THUMB GRIP Dragon Ball Special Ed,Rp109.000,,5.0,4 terjual,waroengame M2SQ,Jakarta Utara,https://www.tokopedia.com/waroengame/ps4-ps5-xbox-one-iine-analog-cap-thumb-grip-dragon-ball-special-ed,2026-04-30T09:22:32.023641
PS5 WUCHANG : Fallen Feathers - Day 1 Edition / Day one,Rp680.000,,5.0,18 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-wuchang-fallen-feathers-day-1-edition-day-one-1732065623941154311,2026-04-30T09:22:32.023643
PS5 Ipega-P5016 P5 Rainbow Bridge Dual Stick Charge Charging Station,Rp199.000,,5.0,12 terjual,waroengame M2SQ,Jakarta Utara,https://www.tokopedia.com/waroengame/ps5-ipega-p5016-p5-rainbow-bridge-dual-stick-charge-charging-station,2026-04-30T09:22:32.023644
USA United States of America Sony PSN PS5 PS4 PS3 PSVita 75 USD 75USD,Rp1.500.000,13%,5.0,15 terjual,waroengame M2SQ,Jakarta Utara,https://www.tokopedia.com/waroengame/usa-united-states-of-america-sony-psn-ps5-ps4-ps3-psvita-75-usd-75usd,2026-04-30T09:22:32.023646
UK United Kingdom Sony PSN PS5 PS4 PS3 PSVita 35 GBP 35GBP,Rp975.000,,5.0,4 terjual,waroengame M2SQ,Jakarta Utara,https://www.tokopedia.com/waroengame/uk-united-kingdom-sony-psn-ps5-ps4-ps3-psvita-35-gbp-35gbp,2026-04-30T09:22:32.023647
PS5 /PS4 DOBE Thumb Grips Analog Controller for Playstation 5 4pcs,Rp49.000,,5.0,100+ terjual,waroengame M2SQ,Jakarta Utara,https://www.tokopedia.com/waroengame/ps5-ps4-dobe-thumb-grips-analog-controller-for-playstation-5-4pcs,2026-04-30T09:22:32.023649
Playstation 5 PS5 Digital Plate Cover Casing Replacement Case Black,Rp299.000,,5.0,7 terjual,waroengame M2SQ,Jakarta Utara,https://www.tokopedia.com/waroengame/playstation-5-ps5-digital-plate-cover-casing-replacement-case-black,2026-04-30T09:22:32.023651
DOBE BIG Storage Stand Game Card Box 36 Slot PS3 PS4 PS5 Xbox Switch,Rp275.000,,5.0,100+ terjual,waroengame M2SQ,Jakarta Utara,https://www.tokopedia.com/waroengame/dobe-big-storage-stand-game-card-box-36-slot-ps3-ps4-ps5-xbox-switch,2026-04-30T09:22:32.023652
Ps5 Assetto Corsa Competizione - The Official GT World Challenge Game,Rp505.000,,5.0,21 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-assetto-corsa-competizione-the-official-gt-world-challenge-game,2026-04-30T09:22:32.023654
PS5 RoboCop : Rogue City – Unfinished Business / ROBO COP,Rp565.000,,5.0,5 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-robocop-rogue-city-unfinished-business-robo-cop-1731929870646019591,2026-04-30T09:22:32.023655
PS5 Code Vein II / Code Vein 2,Rp1.028.500,,5.0,5 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-code-vein-ii-code-vein-2-1732961776632104455,2026-04-30T09:22:32.023657
PULSE Elite Wireless Headset PS5 PS Portal PC Windows Mac Mobile Phone,Rp2.699.000,,5.0,3 terjual,Butikgames,Jakarta Pusat,https://www.tokopedia.com/butikgames/pulse-elite-wireless-headset-ps5-ps-portal-pc-windows-mac-mobile-phone-1732480717804963710,2026-04-30T09:22:32.023658
Omelet Eggcelent Silicone Silicon Silikon Controller Grips Grip for Omelet Switch XBOX PS5 PS4,Rp25.000,,5.0,21 terjual,Butikgames,Jakarta Pusat,https://www.tokopedia.com/butikgames/omelet-eggcelent-silicone-silicon-silikon-controller-grips-grip-for-omelet-switch-xbox-ps5-ps4-1731714142240606078,2026-04-30T09:22:32.023660
Stick PS5 Stik PS5 Dual Sense DualSense Wireless Controller Chroma Pearl,Rp1.400.000,,5.0,4 terjual,Butikgames,Jakarta Pusat,https://www.tokopedia.com/butikgames/stick-ps5-stik-ps5-dual-sense-dualsense-wireless-controller-chroma-pearl-1730791039254300542,2026-04-30T09:22:32.023661
